Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Logan Brown\brownlo01,2,0,-2,0,2,21,1,0
Pavel Buchnevich\buchnpa01,64,38,-10,13,119,971,20,60
Michael Bunting\buntimi01,5,1,0,2,5,48,1,6
Andre Burakovsky\burakan01,76,25,2,14,100,846,29,35
Erik Burgdoerfer\burgder01,4,0,-1,2,2,43,0,16
Brent Burns\burnsbr01,82,83,13,34,300,2058,105,90
Will Butcher\butchwi01,78,30,-17,18,108,1503,74,38
Chris Butler\butlech01,13,2,3,0,10,183,17,17
Dustin Byfuglien\byfugdu01,42,31,4,69,115,1023,51,77
Paul Byron\byronpa01,56,31,16,17,94,816,36,114
Drake Caggiula\caggidr01,55,23,-5,28,96,794,26,135
Ryan Callahan\callary01,52,17,7,14,76,579,25,89
Matt Calvert\calvema01,82,26,-10,58,141,1164,51,115
Kyle Capobianco\capobky01,2,0,-2,0,1,32,2,2
Paul Carey\careypa01,7,0,0,0,4,75,3,3
Brandon Carlo\carlobr01,72,10,22,47,116,1506,88,134
John Carlson\carlsjo01,80,70,21,34,185,2005,164,54
Gabriel Carlsson\carlsga01,1,0,-1,2,1,9,0,0
Ryan Carpenter\carpery01,68,18,-6,8,102,858,17,126
Daniel Carr\carrda01,6,1,-1,0,11,59,3,9
Connor Carrick\carrico01,34,11,-13,19,42,571,37,25
Sam Carrick\carrisa01,6,1,-1,2,5,61,2,15
Trevor Carrick\carritr01,1,0,-1,5,0,11,1,1
William Carrier\carriwi01,54,9,-4,29,85,537,13,277
Jeff Carter\carteje01,76,33,-20,42,174,1380,30,80
Colby Cave\caveco01,53,8,-5,16,58,653,18,73
Cody Ceci\cecico01,74,26,-22,18,132,1670,142,120
Peter Cehlarik\cehlape01,20,6,3,6,30,252,7,5
Erik Cernak\cernaer01,58,16,25,58,107,1117,79,198
Thomas Chabot\chaboth01,70,55,-12,32,185,1700,112,71
Michael Chaput\chapumi01,32,5,-4,14,31,359,17,53
Zdeno Chara\charazd01,62,14,22,57,99,1307,88,81
Rourke Chartier\chartro01,13,1,-5,2,19,122,3,14
Jake Chelios\chelija01,5,0,0,2,5,86,5,7
Ben Chiarot\chiarbe01,78,20,6,62,111,1452,139,171
Alex Chiasson\chiasal01,73,38,-1,32,123,1239,31,85
Filip Chlapik\chlapfi01,5,1,-2,4,9,69,4,1
Dennis Cholowski\cholode01,52,16,-20,16,71,949,50,18
Jakob Chychrun\chychja01,53,20,-12,28,117,1074,77,74
Filip Chytil\chytifi01,75,23,-22,8,133,1034,21,29
Anthony Cirelli\cirelan01,82,39,25,34,123,1217,49,94
