Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Phil Kessel\kesseph01,82,82,-19,28,215,1474,18,12
Jujhar Khaira\khairju01,60,18,-12,43,64,754,33,123
Alex Killorn\killoal01,82,40,22,45,153,1220,23,88
Bogdan Kiselevich\kiselbo01,32,8,-3,12,14,475,21,49
Oscar Klefbom\klefbos01,61,28,-11,16,167,1463,102,44
John Klingberg\klingjo01,64,45,6,12,153,1570,77,42
Justin Kloos\kloosju01,1,0,0,0,2,7,0,2
Corban Knight\knighco01,23,4,-5,0,15,223,13,9
Slater Koekkoek\koekksl01,31,6,4,14,36,491,48,54
Mikko Koivu\koivumi01,48,29,-2,22,89,878,32,13
Leo Komarov\komarle01,82,26,18,42,78,1139,38,203
Travis Konecny\konectr01,82,49,-4,40,182,1251,45,65
Anze Kopitar\kopitan01,81,60,-20,30,156,1807,66,59
Kalle Kossila\kossika01,8,1,-1,4,11,82,3,5
Jesperi Kotkaniemi\kotkaje01,79,34,1,26,134,1086,41,66
Ilya Kovalchuk\kovalil01,64,34,-26,10,141,1039,19,28
Chris Kreider\kreidch01,79,52,4,57,201,1375,49,159
David Krejci\krejcda01,81,73,7,16,139,1432,24,28
Niklas Kronwall\kronwni01,79,27,-5,40,71,1576,96,84
Torey Krug\krugto01,64,53,-2,33,151,1363,60,53
Marcus Kruger\krugema01,74,12,-2,30,74,771,34,51
Nikita Kucherov\kucheni01,82,128,24,62,246,1637,31,44
Ryan Kuffner\kuffnry01,10,0,-4,0,8,109,5,4
Karson Kuhlman\kuhlmka01,11,5,5,2,15,134,4,6
Tom Kuhnhackl\kuhnhto01,36,9,1,10,30,457,41,48
Dean Kukan\kukande01,25,5,6,6,16,337,21,16
Brett Kulak\kulakbr01,57,17,12,31,102,1017,64,107
Dmitry Kulikov\kulikdm01,57,6,4,47,40,893,71,88
Luke Kunin\kuninlu01,49,17,-9,27,88,778,34,67
Chris Kunitz\kunitch01,56,10,-7,23,44,507,15,85
Janne Kuokkanen\kuokkja01,7,0,-2,4,6,76,3,0
Sean Kuraly\kuralse01,71,21,6,38,134,978,35,129
Evgeny Kuznetsov\kuzneev01,76,72,7,50,193,1428,20,46
Oliver Kylington\kylinol01,38,8,3,10,21,472,41,11
Jordan Kyrou\kyroujo01,16,3,-1,4,16,155,3,2
Joel L'Esperance\lespejo01,18,2,-4,6,24,220,4,22
Kevin Labanc\labanke01,82,56,-1,36,130,1150,16,66
Andrew Ladd\laddan01,26,11,3,16,34,360,8,37
Paul Ladue\laduepa01,33,5,0,12,33,436,25,51
Patrik Laine\lainepa01,82,50,-24,42,245,1413,44,70
Maxime Lajoie\lajoima01,56,15,-25,20,79,1059,82,34
Juho Lammikko\lammiju01,40,6,-7,6,39,437,21,45
Gabriel Landeskog\landega01,73,75,17,51,243,1544,64,120
Nick Lappin\lappini01,11,0,-6,0,11,151,3,16
Dylan Larkin\larkidy01,76,73,-6,75,287,1660,38,80
Adam Larsson\larssad01,82,20,-28,44,117,1773,128,256
Jacob Larsson\larssja01,49,5,-4,16,57,839,59,41
Johan Larsson\larssjo02,73,14,-8,37,79,1043,44,112
Brian Lashoff\lashobr01,4,1,-1,2,2,55,4,3
Scott Laughton\laughsc01,82,32,-11,53,130,1218,46,146
Jeremy Lauzon\lauzoje01,16,1,-1,2,11,249,15,15
Curtis Lazar\lazarcu01,1,0,-1,0,0,5,1,0
Nick Leddy\leddyni01,82,26,0,18,116,1767,89,77
Anders Lee\leean01,82,51,20,58,204,1401,51,103
Artturi Lehkonen\lehkoar01,82,31,10,32,176,1276,39,120
Jori Lehtera\lehtejo01,27,3,-7,33,17,246,7,29
Brendan Leipsic\leipsbr01,62,23,-14,24,92,855,28,56
Josh Leivo\leivojo01,76,24,5,32,151,1066,23,44
Brendan Lemieux\lemiebr01,63,17,6,108,67,570,31,129
Kris Letang\letankr01,65,56,13,48,206,1687,111,116
Mark Letestu\letesma01,2,0,-1,0,1,19,0,3
Vinni Lettieri\lettivi01,27,3,-7,14,40,274,11,41
Tyler Lewington\lewinty01,2,2,3,7,3,28,1,4
Trevor Lewis\lewistr01,44,12,-9,9,87,617,25,53
Oscar Lindberg\lindbos02,55,20,4,28,91,686,27,104
Esa Lindell\lindees01,82,32,14,33,132,1995,161,143
Ryan Lindgren\lindgry01,5,0,-6,8,8,73,9,11
Anton Lindholm\lindhan01,2,0,-1,0,0,14,1,1
Elias Lindholm\lindhel01,81,78,30,20,182,1623,39,82
Hampus Lindholm\lindhha01,76,28,-5,44,125,1824,133,81
Par Lindholm\lindhpa01,65,13,5,18,65,738,55,58
Bryan Little\littlbr01,82,41,-12,26,126,1298,29,62
Blake Lizotte\lizotbl01,1,0,-1,0,1,11,1,0
Ryan Lomberg\lombery01,4,0,0,17,1,28,0,12
Ben Lovejoy\lovejbe01,71,9,-1,37,95,1213,118,76
Adam Lowry\lowryad01,78,23,6,33,105,1142,49,223
Milan Lucic\lucicmi01,79,20,-9,91,74,1046,22,259
Matt Luff\luffma01,33,11,-2,9,45,367,19,17
Isac Lundestrom\lundeis01,15,2,-1,2,13,195,5,4
Ilya Lyubushkin\lyubuil01,41,4,-9,13,27,563,61,150
Olli Maatta\maattol01,60,14,9,12,74,1115,116,97
Kurtis MacDermid\macdeku01,11,1,-1,11,5,103,4,26
Andrew MacDonald\macdoan01,47,9,-5,18,41,771,95,30
Jacob MacDonald\macdoja02,2,1,1,0,1,24,1,1
Mackenzie MacEachern\maceama01,29,5,0,10,33,233,4,49
Zack MacEwen\macewza01,4,1,-4,5,2,29,1,4
Derek MacKenzie\mackede01,1,0,0,0,0,3,0,0
Nathan MacKinnon\mackina01,82,99,20,34,365,1812,31,54
Saku Maenalanen\maenasa01,34,8,0,20,36,321,10,45
Josh Mahura\mahurjo01,17,5,0,4,20,243,18,6
Denis Malgin\malgide01,50,16,-10,14,66,644,21,40
Evgeni Malkin\malkiev01,68,72,-25,89,187,1279,33,54
Brad Malone\malonbr01,16,0,0,4,13,143,5,35
Maxim Mamin\maminma01,7,0,-2,5,8,51,1,10
Andrew Mangiapane\mangian01,44,13,11,12,65,464,17,43
Brandon Manning\mannibr01,39,4,-15,25,33,579,40,63
Josh Manson\mansojo01,74,16,-8,62,96,1651,90,184
Anthony Mantha\manthan01,67,48,-8,30,198,1194,23,67
Brad Marchand\marchbr03,79,100,15,96,231,1550,19,46
Jonathan Marchessault\audymjo01,82,59,2,52,278,1488,22,98
Martin Marincin\marinma01,24,5,-4,12,34,365,21,21
Patrick Marleau\marlepa01,82,37,-6,28,161,1340,41,74
Mitch Marner\marnemi01,82,94,22,22,233,1625,43,29
Cooper Marody\marodco01,6,0,-1,0,6,41,0,0
Pat Maroon\maroopa01,74,28,-3,64,118,1049,7,135
Danick Martel\marteda01,9,2,3,8,16,92,1,12
Matt Martin\martima02,67,14,5,53,62,766,42,275
Alec Martinez\martial01,60,18,-2,8,78,1282,135,78
Jordan Martinook\martijo01,82,25,1,38,146,1188,46,199
Andreas Martinsen\martian01,24,4,-5,14,21,190,9,83
Mike Matheson\mathemi01,75,27,-24,44,129,1674,132,63
Auston Matthews\matthau01,68,73,-9,12,251,1262,60,28
Scott Mayfield\mayfisc01,79,19,18,68,104,1480,159,118
Charlie McAvoy\mcavoch01,54,28,14,45,79,1197,91,92
Jake McCabe\mccabja01,59,14,-4,35,64,1118,99,103
Jared McCann\mccanja01,78,35,-1,31,150,1133,51,77
Max McCormick\mccorma01,14,1,-6,4,12,105,6,21
Ian McCoshen\mccosia01,19,2,-2,8,15,253,13,41
Connor McDavid\mcdavco01,78,116,3,20,240,1781,30,39
Ryan McDonagh\mcdonry01,82,46,38,34,128,1811,161,98
Brock McGinn\mcginbr01,82,26,10,20,123,1173,38,137
Jamie McGinn\mcginja01,19,7,-5,6,23,203,3,34
Dylan McIlrath\mcilrdy01,7,0,2,4,6,106,7,19
Greg McKegg\mckeggr01,41,11,-2,8,27,437,18,30
Cody McLeod\mcleoco01,38,1,-13,67,22,246,10,112
Michael McLeod\mcleomi01,21,3,-8,13,21,256,4,41
Brayden McNabb\mcnabbr01,81,16,11,52,84,1578,139,200
Adam McQuaid\mcquaad01,50,7,2,42,28,789,88,122
Wade Megan\meganwa01,11,1,-4,2,16,87,4,4
Jaycob Megna\megnaja02,28,4,-1,12,31,407,29,32
Timo Meier\meierti01,78,66,9,55,250,1324,40,99
Dakota Mermis\mermida01,1,0,1,0,0,11,0,0
Jonathon Merrill\merrijo01,57,15,16,53,72,1019,72,71
Victor Mete\metevi01,71,13,17,6,65,1262,95,21
Marc Methot\methoma01,9,0,-3,6,3,152,10,15
Jacob Middleton\middlja01,3,1,-1,2,0,30,2,1
Sonny Milano\milanso01,8,1,0,0,5,67,0,5
Colin Miller\milleco02,65,29,0,44,131,1277,64,122
J.T. Miller\millejt01,75,47,8,30,108,1100,23,115
Kevan Miller\milleke03,39,7,8,35,32,692,79,73
Casey Mittelstadt\mitteca01,77,25,-19,10,118,1036,16,30
Sean Monahan\monahse01,78,82,7,12,211,1486,24,36
Brandon Montour\montobr01,82,35,-20,56,181,1841,121,99
John Moore\moorejo01,61,13,0,26,97,1145,76,77
Trevor Moore\mooretr01,25,8,1,2,26,227,7,15
Samuel Morin\morinsa01,5,0,-3,4,5,62,7,9
Josh Morrissey\morrijo04,59,31,9,14,95,1322,107,55
Joseph Morrow\morrojo02,41,7,0,20,40,572,37,37
Tyler Motte\mottety01,74,16,-12,10,114,945,52,200
Mirco Mueller\muellmi01,53,11,-3,17,39,958,61,75
Connor Murphy\murphco02,52,13,12,40,84,1013,91,119
Ryan Murphy\murphry01,3,1,1,0,1,34,3,1
Jake Muzzin\muzzija01,80,37,21,47,141,1707,134,172
Philippe Myers\myersph01,21,2,-5,2,25,323,8,42
Tyler Myers\myersty01,80,31,11,63,156,1628,99,97
Vladislav Namestnikov\namesvl01,78,31,-7,44,119,1232,62,140
Riley Nash\nashri02,78,12,-8,19,79,846,43,72
James Neal\nealja01,63,19,-5,28,141,942,19,46
Martin Necas\necasma01,7,2,0,2,6,70,2,3
Brock Nelson\nelsobr01,82,53,20,28,181,1474,55,51
Casey Nelson\nelsoca01,38,6,1,13,37,586,36,44
Patrik Nemeth\nemetpa01,74,10,5,53,57,1220,131,137
Valeri Nichushkin\nichuva01,57,10,-4,0,65,679,32,71
Nino Niederreiter\niedeni01,82,53,-4,30,184,1330,20,94
Frans Nielsen\nielsfr01,72,35,-7,14,120,1201,44,79
Matthew Nieto\nietoma01,64,23,2,8,86,881,26,50
Boo Nieves\nievecr01,43,10,-4,8,34,415,18,33
Sami Niku\nikusa01,30,4,0,2,19,418,30,10
Jacob Nilsson\nilssja01,2,0,-2,0,0,16,1,1
Matt Niskanen\niskama01,80,25,-3,41,143,1755,137,167
Stefan Noesen\noesest01,41,8,-19,28,64,522,21,95
Nelson Nogier\nogiene01,1,0,0,0,1,10,1,0
Jordan Nolan\nolanjo01,14,2,2,14,17,111,4,22
Joakim Nordstrom\nordsjo02,70,12,0,13,103,944,52,86
Tomas Nosek\nosekto01,68,17,-10,18,116,848,23,75
Ryan Nugent-Hopkins\nugenry01,82,69,-13,26,208,1648,40,69
Darnell Nurse\nurseda01,82,41,-5,87,196,1953,146,162
Markus Nutivaara\nutivma01,80,21,3,6,99,1414,61,80
Alexander Nylander\nylanal01,12,4,-4,4,16,146,1,1
William Nylander\nylanwi01,54,27,-4,16,130,838,14,16
Gustav Nyquist\nyquigu01,81,60,1,12,204,1419,23,36
Logan O'Connor\oconnlo01,5,0,-2,0,1,34,1,4
Danny O'Regan\oregada01,1,0,0,0,2,12,0,0
Ryan O'Reilly\oreilry01,82,77,22,12,234,1702,36,31
Jordan Oesterle\oestejo01,71,20,-3,12,77,1342,139,58
Kyle Okposo\okposky01,78,29,-9,41,147,1075,27,87
Jamie Oleksiak\oleksja01,57,12,5,45,55,840,59,135
Victor Olofsson\olofsvi01,6,4,1,2,21,108,3,2
Dmitry Orlov\orlovdm01,82,29,3,33,101,1774,103,137
Brooks Orpik\orpikbr01,53,9,8,32,43,830,78,131
T.J. Oshie\oshietj01,69,54,5,36,143,1284,55,133
Xavier Ouellet\ouellxa01,19,3,-3,13,32,323,30,32
Alex Ovechkin\ovechal01,81,89,7,40,338,1695,41,223
Igor Ozhiganov\ozhigig01,53,7,0,14,43,743,48,57
Magnus Paajarvi\paajama01,80,19,-14,6,119,1078,67,65
Max Pacioretty\pacioma01,66,40,-13,36,191,1122,20,119
Jean-Gabriel Pageau\pageaje01,39,12,-12,14,83,696,38,63
Ondrej Palat\palaton01,64,34,4,20,100,953,34,104
Kyle Palmieri\palmiky01,74,50,-9,42,224,1343,35,98
Artemi Panarin\panarar01,79,87,14,23,191,1569,17,14
Richard Panik\panikri01,75,33,-3,44,140,1246,52,137
Cedric Paquette\paquece01,80,17,7,80,87,960,61,269
Colton Parayko\parayco01,80,28,20,15,176,1823,157,127
Zach Parise\parisza01,74,61,-2,26,229,1381,71,49
David Pastrnak\pastrda01,66,81,6,32,235,1238,25,57
Greg Pateryn\patergr01,80,7,-11,41,100,1370,118,144
Nolan Patrick\patrino01,72,31,-8,27,115,1086,26,72
Nick Paul\paulni01,20,2,-10,4,30,169,4,28
Joe Pavelski\paveljo01,75,64,-4,22,188,1428,61,69
Tanner Pearson\pearsta01,80,27,-15,25,147,1124,41,128
Matthew Peca\pecama01,39,10,-14,4,35,410,21,33
Adam Pelech\pelecad01,78,21,22,24,110,1453,116,149
Anthony Peluso\pelusan01,4,0,-1,7,1,16,0,4
Brendan Perlini\perlibr01,68,21,-17,28,117,789,22,51
Mathieu Perreault\perrema01,82,30,-1,44,95,1003,25,127
David Perron\perroda01,57,46,3,46,112,974,13,52
Corey Perry\perryco01,31,10,-16,27,59,460,14,21
Brett Pesce\pescebr01,73,29,35,24,98,1496,131,53
Nic Petan\petanni01,18,3,-5,2,15,137,4,2
Alexander Petrovic\petroal01,35,2,-15,26,47,578,53,116
Jeff Petry\petryje01,82,46,-5,28,172,1896,123,190
Elias Pettersson\petteel01,71,66,3,12,144,1294,51,42
Marcus Pettersson\pettema01,84,25,17,66,87,1401,108,101
Dion Phaneuf\phanedi01,67,6,-21,53,80,1005,79,128
Blake Pietila\pietibl01,19,1,-7,6,22,252,8,36
Alex Pietrangelo\pietral01,71,41,2,22,168,1709,139,62
Lawrence Pilut\pilutla01,33,6,-8,20,37,575,33,20
Neal Pionk\pionkne01,73,26,-16,35,132,1545,98,138
Brandon Pirri\pirribr01,31,18,7,6,82,448,13,29
Rem Pitlick\pitlire01,1,0,0,2,0,10,0,0
Tyler Pitlick\pitlity01,47,12,-2,6,75,629,27,93
Tomas Plekanec\plekato01,3,1,0,0,8,33,1,1
Ryan Poehling\poehlry01,1,3,3,0,3,11,0,1
Brayden Point\pointbr01,79,92,27,28,191,1495,43,31
Roman Polak\polakro01,77,9,6,69,77,1476,152,191
Jason Pominville\pominja01,73,31,-4,4,134,910,20,18
Derrick Pouliot\poulide01,62,12,-1,30,58,1064,71,76
Nate Prosser\prossna01,15,0,1,2,10,153,13,17
Dalton Prout\proutda01,20,2,1,8,14,262,20,36
Ivan Provorov\provoiv01,82,26,-16,32,145,2059,149,123
Matt Puempel\puempma01,8,1,-2,2,10,83,5,4
Jesse Puljujarvi\puljuje01,46,9,-14,16,53,550,26,46
Ryan Pulock\pulocry01,82,37,21,22,180,1834,148,143
Tom Pyatt\pyattto01,37,2,-16,2,29,433,46,15
Mark Pysyk\pysykma01,70,11,-1,26,64,1279,89,133
John Quenneville\quennjo02,19,1,-1,4,16,215,7,21
Alan Quine\quineal01,13,5,0,6,11,123,2,14
Lukas Radil\radillu01,36,11,7,6,40,385,9,29
Alexander Radulov\radulal01,70,72,22,54,209,1385,83,60
Brogan Rafferty\raffebr01,2,0,-1,0,3,27,2,0
Michael Raffl\rafflmi01,67,18,-1,32,65,765,29,96
Rickard Rakell\rakelri01,69,43,-13,27,194,1275,38,82
Mikko Rantanen\rantami01,74,87,13,54,193,1542,41,59
Victor Rask\raskvi01,49,9,-4,8,55,593,12,40
Michael Rasmussen\rasmumi01,62,18,-8,29,74,749,28,84
Ty Rattie\rattity01,50,11,-2,4,84,567,7,57
Kyle Rau\rauky01,6,1,0,0,6,42,2,11
Matt Read\readma01,12,1,-2,2,13,141,8,11
Ryan Reaves\reavery01,80,20,1,74,95,870,24,305
Mike Reilly\reillmi01,57,11,0,16,101,1065,53,48
Sam Reinhart\reinhsa01,82,65,-10,16,180,1555,47,38
Sheldon Rempal\rempash01,7,0,-1,0,3,61,1,0
Anthony Richard\richaan01,1,0,-1,0,0,7,1,0
Brad Richardson\richabr02,66,27,6,22,128,1054,55,63
Tobias Rieder\riedeto01,67,11,-8,8,92,847,44,69
Morgan Rielly\riellmo01,82,72,24,14,223,1896,114,61
Juuso Riikola\riikoju01,37,5,3,10,43,617,38,86
Zac Rinaldo\rinalza01,23,3,1,20,11,164,8,47
Rasmus Ristolainen\ristora01,78,43,-41,38,182,1922,121,235
Brett Ritchie\ritchbr01,53,6,-7,57,57,509,13,126
Nick Ritchie\ritchni01,60,31,6,82,96,900,31,123
Eric Robinson\robiner01,13,0,-4,0,18,154,1,24
Jack Rodewald\rodewja01,6,0,0,0,2,42,3,8
Evan Rodrigues\rodriev01,74,29,-7,25,168,1171,33,33
Kevin Rooney\rooneke01,41,10,-4,15,39,517,22,77
Calle Rosen\rosenca01,4,1,-3,0,5,67,2,1
Jack Roslovic\rosloja01,77,24,-2,4,74,750,21,32
Antoine Roussel\roussan01,65,31,5,118,84,894,50,87
Carter Rowney\rowneca01,62,20,0,12,53,778,35,178
Kevin Roy\royke01,3,0,-1,0,2,39,2,0
Matt Roy\royma04,25,6,-1,8,34,428,47,38
Nicolas Roy\royni01,6,0,0,2,1,42,1,7
Chad Ruhwedel\ruhwech01,18,2,-9,4,22,293,16,40
Kris Russell\russekr01,72,16,5,27,63,1471,185,93
Patrick Russell\russepa01,6,0,0,2,6,53,2,9
Bryan Rust\rustbr01,72,35,10,24,141,1145,59,119
Jan Rutta\ruttaja02,37,8,4,16,42,577,30,24
Bobby Ryan\ryanbo01,78,42,-29,35,160,1223,49,77
Derek Ryan\ryande01,81,38,21,24,103,1118,19,19
Joakim Ryan\ryanjo02,44,7,-1,15,35,562,39,43
Kerby Rychel\rycheke01,2,0,-1,0,1,18,1,3
Brandon Saad\saadbr01,80,47,-9,12,195,1415,25,52
Miikka Salomaki\salommi01,37,7,5,8,51,387,20,72
Zach Sanford\sanfoza01,60,20,8,21,77,755,37,48
Travis Sanheim\sanhetr01,82,35,-4,22,121,1604,133,45
Steven Santini\santist01,39,4,-6,16,41,650,43,80
Ashton Sautner\sautnas01,17,1,-2,2,21,247,17,25
David Savard\savarda01,82,24,19,36,124,1619,123,122
Luca Sbisa\sbisalu01,9,1,0,4,5,139,7,17
Marco Scandella\scandma01,63,13,-13,26,83,1109,75,53
Colton Sceviour\scevico01,59,15,-2,15,116,725,58,89
Tim Schaller\schalti01,47,10,-2,9,44,501,18,66
Mark Scheifele\scheima01,82,84,8,38,199,1793,54,54
Brayden Schenn\schenbr01,72,54,3,40,159,1338,31,111
Luke Schenn\schenlu01,26,2,-10,16,30,362,39,105
Nikita Scherbak\scherni01,8,1,-4,2,12,81,1,9
Cameron Schilling\schilca01,4,1,0,0,2,48,5,3
David Schlemko\schleda01,18,2,-1,4,29,357,45,29
Jordan Schmaltz\schmajo01,20,2,-7,2,11,230,22,10
Nick Schmaltz\schmani01,40,25,-12,8,62,713,12,5
Nate Schmidt\schmina01,61,30,22,8,112,1339,100,37
Jimmy Schuldt\schulja01,1,1,-1,0,1,21,1,0
Justin Schultz\schulju01,29,15,0,4,47,595,41,25
Jaden Schwartz\schwaja01,69,36,-6,16,183,1251,27,61
Brent Seabrook\seabrbr01,78,28,-6,41,165,1490,180,124
Lukas Sedlak\sedlalu01,47,6,-5,10,43,423,20,69
Nick Seeler\seeleni01,71,7,-4,64,67,876,116,78
Tyler Seguin\seguity01,82,80,17,18,334,1701,47,74
Andrej Sekera\sekeran01,24,4,3,6,28,396,21,17
Brett Seney\seneybr01,51,13,-14,31,49,527,15,48
Zachary Senyshyn\senysza01,2,1,0,0,4,23,0,1
Mikhail Sergachev\sergami01,75,32,12,28,128,1344,93,97
Damon Severson\severda01,82,39,-27,58,146,1808,87,83
Kevin Shattenkirk\shattke01,73,28,-15,20,148,1383,104,73
Andrew Shaw\shawan01,63,47,17,71,135,1003,36,128
Riley Sheahan\sheahri01,82,19,-9,17,110,1104,44,72
Conor Sheary\shearco01,78,34,-18,12,147,1140,29,29
Kiefer Sherwood\sherwki01,50,12,1,8,60,569,19,79
Kole Sherwood\sherwko01,2,0,0,0,2,18,1,10
Devin Shore\shorede01,76,29,-12,13,82,1084,64,94
Jonas Siegenthaler\siegejo01,26,4,6,10,12,368,44,31
Dylan Sikura\sikurdy01,33,8,2,0,52,372,10,3
Jakob Silfverberg\silfvja01,73,43,-9,28,163,1248,43,38
Radim Simek\simekra01,41,9,7,8,41,624,34,67
Wayne Simmonds\simmowa01,79,30,-16,99,157,1238,28,137
Dominik Simon\simondo01,71,28,8,18,121,946,19,89
Colton Sissons\sissoco01,75,30,20,23,110,1203,52,109
Jeff Skinner\skinnje01,82,63,0,36,268,1518,24,31
Brady Skjei\skjeibr01,78,25,-4,44,126,1656,119,178
Jaccob Slavin\slavija01,82,31,0,18,146,1889,133,70
Brendan Smith\smithbr05,63,13,-7,71,66,964,48,100
C.J. Smith\smithcj01,11,2,0,0,18,117,1,4
Craig Smith\smithcr01,76,38,11,20,205,1150,33,77
Gemel Smith\smithge02,17,3,-4,0,14,142,3,13
Reilly Smith\smithre01,74,53,13,14,178,1352,33,39
Zack Smith\smithza01,70,28,-6,81,101,1145,27,136
Devante Smith-Pelly\smithde06,54,8,-6,15,60,586,36,78
Vladimir Sobotka\sobotvl01,69,13,-20,26,71,979,30,87
Carl Soderberg\soderca01,82,49,-5,26,188,1431,67,99
Marcus Sorensen\sorenma01,80,30,10,23,100,1037,29,88
Nikita Soshnikov\soshnni01,5,0,-1,0,1,36,2,5
Jason Spezza\spezzja01,76,27,-13,29,121,1009,30,16
Ryan Spooner\spoonry01,52,9,-12,2,67,594,7,39
Daniel Sprong\spronda01,63,23,-16,10,125,753,14,35
Jared Spurgeon\spurgja01,82,43,-1,20,152,1980,145,91
Eric Staal\staaler01,81,52,-7,34,215,1468,28,41
Jordan Staal\staaljo01,50,28,6,26,121,914,18,122
Marc Staal\staalma01,79,13,-9,32,84,1534,119,94
Drew Stafford\staffdr01,57,13,-7,18,77,699,19,50
Steven Stamkos\stamkst01,82,98,4,37,234,1501,40,72
Paul Stastny\stastpa01,50,42,14,30,103,905,15,35
Troy Stecher\stechtr01,78,23,9,32,105,1554,96,91
Sam Steel\steelsa01,22,11,2,8,33,329,6,9
Alex Steen\steenal01,65,27,2,14,114,1030,50,55
Lee Stempniak\stemple01,2,0,-1,0,0,16,0,2
Kevin Stenlund\stenlke01,4,0,0,4,3,44,1,3
Derek Stepan\stepade01,72,35,-2,14,195,1384,51,50
Chandler Stephenson\stephch02,64,11,-13,0,36,775,33,38
Riley Stillman\stillri01,1,0,0,2,1,11,0,5
Mark Stone\stonema01,77,73,17,27,199,1531,71,72
Michael Stone\stonemi01,14,5,0,10,12,223,16,27
Anton Stralman\stralan01,47,17,12,8,57,965,71,59
Ben Street\streebe01,21,5,-4,2,19,253,9,19
Dylan Strome\stromdy01,78,57,-8,20,145,1260,46,13
Ryan Strome\stromry01,81,35,-3,64,110,1261,36,76
Nico Sturm\sturmni01,2,0,0,0,7,26,2,3
P.K. Subban\subbapk01,63,31,5,60,168,1428,75,56
Libor Sulak\sulakli01,6,0,-4,6,7,116,5,18
Oskar Sundqvist\sundqos01,74,31,-1,22,113,1023,31,101
Antti Suomela\suomean01,27,8,1,4,42,306,11,10
Andrej Sustr\sustran01,5,0,0,6,6,60,7,3
Ryan Suter\suterry01,82,47,-8,41,136,2189,109,78
Brandon Sutter\suttebr03,26,6,-12,6,43,454,13,33
Andrei Svechnikov\svechan01,82,37,0,62,189,1201,26,123
Brandon Tanev\tanevbr01,80,29,9,41,127,1129,81,278
Chris Tanev\tanevch01,55,12,3,18,51,1109,122,29
Eric Tangradi\tangrer01,6,1,-3,0,10,83,4,11
Vladimir Tarasenko\tarasvl01,76,68,8,22,275,1398,40,88
Tomas Tatar\tatarto01,80,58,21,34,195,1313,30,77
John Tavares\tavarjo01,82,88,19,34,286,1565,53,59
Matt Tennyson\tennyma01,4,0,-4,0,4,43,2,10
Teuvo Teravainen\teravte01,82,76,30,12,167,1469,23,35
Troy Terry\terrytr01,32,13,8,2,25,446,12,4
Josh Teves\tevesjo01,1,0,-1,2,0,14,1,4
Alexandre Texier\texieal01,2,1,3,0,6,26,1,2
Shea Theodore\theodsh01,79,37,-4,20,202,1588,91,27
Robert Thomas\thomaro01,70,33,-2,14,80,915,22,13
Nate Thompson\thompna01,78,13,-1,17,71,1014,44,87
Tage Thompson\thompta01,65,12,-22,20,108,788,9,66
Chris Thorburn\thorbch01,1,0,0,0,0,2,0,1
Joe Thornton\thornjo01,73,51,8,20,90,1135,14,17
Chris Tierney\tiernch01,81,48,-22,26,116,1379,54,30
Brady Tkachuk\tkachbr01,71,45,-10,75,214,1138,26,174
Matthew Tkachuk\tkachma01,80,77,14,62,207,1408,13,104
Devon Toews\toewsde01,48,18,7,4,81,859,30,24
Jonathan Toews\toewsjo01,82,81,2,40,235,1723,44,42
Tyler Toffoli\toffoty01,82,34,-16,23,226,1411,23,39
Eeli Tolvanen\tolvaee01,4,2,2,0,2,53,2,4
Dominic Toninato\tonindo01,2,1,0,0,1,13,1,0
Vincent Trocheck\trochvi01,55,34,-9,54,158,1081,42,112
Zach Trotman\trotmza01,13,1,4,4,16,198,18,20
Jacob Trouba\troubja01,82,50,8,58,162,1876,171,112
Alex Tuch\tuchal01,74,52,13,8,180,1238,40,92
Dominic Turgeon\turgedo01,4,0,-3,0,2,50,3,3
Kyle Turris\turriky01,55,23,-6,33,78,863,15,24
Urho Vaakanainen\vaakaur01,2,0,-1,0,2,18,0,0
Juuso Valimaki\valimju01,24,3,-2,12,28,372,43,21
James van Riemsdyk\vanrija01,66,48,-10,18,167,1096,16,34
Trevor van Riemsdyk\vanritr01,78,14,-4,10,102,1175,84,42
Thomas Vanek\vanekth01,64,36,-12,26,108,903,13,38
Phil Varone\varonph01,47,7,-2,8,34,372,19,23
Sami Vatanen\vatansa01,50,17,-17,22,107,1086,77,68
Frank Vatrano\vatrafr01,81,39,-10,38,208,1188,74,139
Max Veronneau\veronma01,12,4,-5,0,15,150,5,0
Kristian Vesalainen\vesalkr01,5,1,0,0,1,34,1,1
Jimmy Vesey\veseyji02,81,35,-6,21,154,1301,34,79
Jake Virtanen\virtaja01,70,25,-4,44,154,1037,37,154
Marc-Edouard Vlasic\vlasima01,72,25,-6,10,100,1515,114,23
Jakub Voracek\voracja01,78,66,-16,25,210,1456,29,17
Mikhail Vorobyev\vorobmi01,15,2,0,2,10,140,4,4
Jakub Vrana\vranaja01,82,47,20,27,161,1151,32,47
Austin Wagner\wagneau01,62,21,2,16,67,554,9,142
Chris Wagner\wagnech01,76,19,3,51,135,1022,38,247
Nathan Walker\walkena01,3,1,1,2,2,24,0,5
Sean Walker\walkese01,39,10,-8,8,55,602,40,43
Lucas Wallmark\wallmlu01,81,28,-8,36,131,1198,39,82
Austin Watson\watsoau01,37,16,11,39,64,536,28,109
Jordan Weal\wealjo01,63,21,-8,18,75,848,26,28
Shea Weber\webersh01,58,33,15,28,166,1362,110,129
Yannick Weber\weberya01,62,8,7,18,67,739,32,64
MacKenzie Weegar\weegama01,64,15,-3,64,79,1086,103,127
